name,median,p16,p84,mean,std,unit
A_s,1.0400241499136962e-06,1.0015646967876093e-06,1.0790282318335221e-06,1.040287156874194e-06,3.874637473393153e-08,mK2
alpha_s,-2.0615116589612397,-2.110723180801356,-2.012478020640154,-2.0614215053780556,0.0494244920492708,mK2
beta_s,-2.7817388510991616,-2.810114319597968,-2.752907686432734,-2.7814978927330434,0.028853851696369667,mK2
A_d,2.13676477503015e-09,2.1240210888135194e-09,2.149252670834569e-09,2.136697437329298e-09,1.2747988480703964e-11,mK2
alpha_d,-2.016558448376006,-2.024683470290467,-2.008271427902114,-2.0165374305367023,0.008260249901379683,mK2
beta_d,1.3410254164761224,1.3331096136414677,1.3488726686617238,1.3409953393030611,0.007924259912394278,mK2
rho,-0.004538091732091204,-0.011601528919416813,0.0026910165228775373,-0.004465076685543282,0.007194250102747084,mK2
